#onokad	O=0.9999865293502808|NORM=1.2970642274012789e-05
anabelle	O=0.999365508556366|NORM=0.000632758135907352
"	O=0.9999868869781494|NORM=1.2520789823611267e-05
,	O=0.9999874830245972|NORM=1.192689251183765e-05
inače	O=0.9998407363891602|NORM=0.00015901979350019246
napucani	NORM=0.9958309531211853|O=0.004157318267971277
horor	O=0.9992954730987549|NORM=0.0006987156230024993
nemojte	O=0.9997488856315613|NORM=0.00025059509789571166
gledati	O=0.9997442364692688|NORM=0.00025005105999298394
,	O=0.9999868869781494|NORM=1.204408999910811e-05
jer	O=0.9994024038314819|NORM=0.0005971495993435383
u	O=0.9999659061431885|NORM=3.3916545362444595e-05
životu	O=0.9998456239700317|NORM=0.00015392413479276001
veće	O=0.9819076657295227|NORM=0.01809052564203739
sranje	O=0.9985741376876831|NORM=0.001423955662176013
od	O=0.9997060894966125|NORM=0.0002935089869424701
filma	O=0.9999163150787354|NORM=8.245112985605374e-05
nisam	O=0.9999490976333618|NORM=5.037951632402837e-05
vidio	O=0.99996018409729|NORM=3.9475311496062204e-05
!!!	O=0.9999785423278809|NORM=1.9673154383781366e-05

evo	O=0.9999793767929077|NORM=2.0410170691320673e-05
jedne	O=0.9999620914459229|NORM=3.760859544854611e-05
ekskluzive	O=0.9999499320983887|NORM=4.949808862875216e-05
za	O=0.9999866485595703|NORM=1.3086469152767677e-05
@nln3	O=0.9999847412109375|NORM=1.4878703950671479e-05
@goranvr	O=0.9999842643737793|NORM=1.5513091057073325e-05
-	O=0.9999730587005615|NORM=2.556513572926633e-05
24.	O=0.9998444318771362|NORM=0.00015481520676985383
-26.	O=0.9999392032623291|NORM=5.985789903206751e-05
10.	O=0.999941349029541|NORM=5.801356383017264e-05
je	O=0.9999281167984009|NORM=7.17110960977152e-05
#etwinning	O=0.9999792575836182|NORM=2.0288198356865905e-05
seminar	O=0.9996756315231323|NORM=0.0003233908209949732
u	O=0.9999784231185913|NORM=2.120939825545065e-05
dubrovniku	O=0.9997630715370178|NORM=0.00023597039398737252
,	O=0.9999818801879883|NORM=1.6890664483071305e-05
tamo	O=0.9972150325775146|NORM=0.0027781054377555847
smo	O=0.9997267127037048|NORM=0.00027301738737151027
@abfromz	O=0.9999854564666748|NORM=1.4296128938440233e-05
i	O=0.9999890327453613|NORM=1.0779896001622546e-05
ja	O=0.9999850988388062|NORM=1.4799249584029894e-05
pa	O=0.9998999834060669|NORM=9.976491128327325e-05
nam	O=0.9998966455459595|NORM=0.00010301590373273939
se	O=0.9999736547470093|NORM=2.6171239369432442e-05
pridružite	O=0.9999024868011475|NORM=9.711777966003865e-05
:)	O=0.9999854564666748|NORM=1.3190639037929941e-05

konferenciju	O=0.9999741315841675|NORM=2.5501487471046858e-05
#tggcon	O=0.9999866485595703|NORM=1.2559536116896197e-05
u	O=0.9999865293502808|NORM=1.2860281458415557e-05
11	O=0.9999713897705078|NORM=2.8074147849110886e-05
h	O=0.9999828338623047|NORM=1.6603507901891135e-05
otvara	O=0.9999842643737793|NORM=1.5420739146065898e-05
hrv.	O=0.9998960494995117|NORM=0.00010300021676812321
fizičar	O=0.9998862743377686|NORM=0.00011307818203931674
i	O=0.9999808073043823|NORM=1.899622475320939e-05
izumitelj	O=0.9999096393585205|NORM=9.005441097542644e-05
davor	O=0.9999281167984009|NORM=7.163289410527796e-05
pavuna	O=0.9998263716697693|NORM=0.0001730892399791628
s	O=0.9999842643737793|NORM=1.5326875654864125e-05
temom	O=0.9997679591178894|NORM=0.0002317532926099375
"	O=0.9999852180480957|NORM=1.3900700650992803e-05
the	O=0.9999805688858032|NORM=1.816347321437206e-05
universe	O=0.9999910593032837|NORM=8.308312317240052e-06
and	O=0.9999306201934814|NORM=6.40930884401314e-05
our	O=0.9998865127563477|NORM=0.00010791273234644905
planet	O=0.9999747276306152|NORM=2.4231903807958588e-05
:	O=0.9999861717224121|NORM=1.251548201253172e-05
a	O=0.9999719858169556|NORM=2.6549379981588572e-05
true	O=0.9999582767486572|NORM=4.045088280690834e-05
challege	O=0.9997174143791199|NORM=0.0002818793000187725
to	O=0.9999265670776367|NORM=6.953284173505381e-05
all	O=0.9999817609786987|NORM=1.7487396689830348e-05
geeks	O=0.9999262094497681|NORM=7.253515650518239e-05
"	O=0.9999781847000122|NORM=2.066438719339203e-05
.	O=0.9999932050704956|NORM=5.690302714356221e-06

ali	O=0.9999138116836548|NORM=8.563178562326357e-05
i	O=0.9999077320098877|NORM=9.184782538795844e-05
reklama	O=0.9997054934501648|NORM=0.0002928179455921054
"	O=0.9999853372573853|NORM=1.390665511280531e-05
i	O=0.9999169111251831|NORM=8.265185897471383e-05
put	O=0.9928909540176392|NORM=0.00710119167342782
my	O=0.9998757839202881|NORM=0.00011765986710088328
other	O=0.9999359846115112|NORM=6.120610487414524e-05
jeans	O=0.999748170375824|NORM=0.0002485717704985291
on	O=0.9998457431793213|NORM=0.00015349010936915874
"	O=0.9999676942825317|NORM=3.0491935831378214e-05
zvucala	NORM=0.9809064269065857|O=0.01908275857567787
je	O=0.9999537467956543|NORM=4.6111337724141777e-05
bolje	O=0.9998514652252197|NORM=0.00014772266149520874
u	O=0.9999527931213379|NORM=4.7012952563818544e-05
moj	O=0.8917486071586609|NORM=0.10823865234851837
verziji	O=0.956902027130127|NORM=0.04309307783842087
aj	NORM=0.9985927939414978|O=0.0013989805011078715
zu	NORM=0.9957261085510254|O=0.004257644060999155
mazeriza	NORM=0.9297393560409546|O=0.07025256007909775
aj	NORM=0.9980053305625916|O=0.001982644200325012
zu	NORM=0.9986466765403748|O=0.0013430090621113777
za	O=0.988593578338623|NORM=0.011402403935790062
mazeriza	NORM=0.520693302154541|O=0.4792692959308624
.	O=0.9999879598617554|NORM=1.0926798495347612e-05

ekipa	O=0.9996055960655212|NORM=0.00039397613727487624
@vhrbak	O=0.9999858140945435|NORM=1.3751620826951694e-05
,	O=0.9999761581420898|NORM=2.2192960386746563e-05
@juricigor	O=0.9999890327453613|NORM=1.063947183865821e-05
,	O=0.9999775886535645|NORM=2.0830162611673586e-05
@msrsan	O=0.9999872446060181|NORM=1.2443585546861868e-05
,	O=0.9999831914901733|NORM=1.5514420738327317e-05
@wyeko	O=0.9999878406524658|NORM=1.1852705938508734e-05
,	O=0.99997878074646|NORM=1.9515035091899335e-05
@ivonaopancar	O=0.9999898672103882|NORM=9.825068445934448e-06
,	O=0.9999828338623047|NORM=1.574699672346469e-05
@zselinger	O=0.9999898672103882|NORM=9.882353879220318e-06
,	O=0.9999831914901733|NORM=1.547912870591972e-05
@norafora	O=0.9999878406524658|NORM=1.1883503248100169e-05
i	O=0.9999891519546509|NORM=1.0535465662542265e-05
ostali	O=0.9999622106552124|NORM=3.731781180249527e-05
sa	O=0.9999692440032959|NORM=3.0164344934746623e-05
#itedu2012	O=0.9999927282333374|NORM=6.914420282555511e-06
,	O=0.9999877214431763|NORM=1.1322048521833494e-05
današnje	O=0.999300479888916|NORM=0.0006985904765315354
predavanje	O=0.9997926354408264|NORM=0.00020683194452431053
je	O=0.9999573230743408|NORM=4.2359224607935175e-05
odgođeno	O=0.9997920393943787|NORM=0.0002072905481327325
!	O=0.9999908208847046|NORM=8.072598575381562e-06

ono	O=0.9999722242355347|NORM=2.722267345234286e-05
kad	O=0.9999853372573853|NORM=1.4277667105488945e-05
curu	O=0.9997387528419495|NORM=0.00026011571753770113
koja	O=0.999591052532196|NORM=0.0004082445811945945
čući	NORM=0.6155875325202942|O=0.38439780473709106
na	O=0.9999589920043945|NORM=4.060652281623334e-05
fotografiji	O=0.9998857975006104|NORM=0.00011376562906662002
sa	O=0.9999418258666992|NORM=5.7807701523415744e-05
instagrama	O=0.9816545248031616|NORM=0.01833535172045231
znaš	O=0.99795001745224|NORM=0.002043867250904441
kao	O=0.9999184608459473|NORM=8.126696775434539e-05
curu	O=0.9992043375968933|NORM=0.0007912951405160129
koja	O=0.9998537302017212|NORM=0.00014581870345864445
čući	O=0.6339613795280457|NORM=0.3660140335559845
u	O=0.9999089241027832|NORM=9.074436820810661e-05
rl	O=0.9906700849533081|NORM=0.00932681281119585
.	O=0.9999909400939941|NORM=8.27583426143974e-06

#micekjadni	O=0.9999797344207764|NORM=1.9985862309113145e-05

wwdc	O=0.9895331263542175|NORM=0.010451856069266796
2014	O=0.999921441078186|NORM=7.803163316566497e-05
–	O=0.9999732971191406|NORM=2.576073893578723e-05
apple	O=0.9997342228889465|NORM=0.0002632969117257744
sprema	O=0.9999686479568481|NORM=3.078917507082224e-05
platformu	O=0.9999676942825317|NORM=3.153533907607198e-05
za	O=0.999963641166687|NORM=3.554785143933259e-05
pametne	O=0.9942259192466736|NORM=0.0057695782743394375
domove	O=0.9988992214202881|NORM=0.001099382876418531
?	O=0.9999761581420898|NORM=2.2788080968894064e-05

@trsurf	O=0.9999834299087524|NORM=1.5941277524689212e-05
krivo	O=0.9999240636825562|NORM=7.543705578427762e-05
se	O=0.9999788999557495|NORM=2.0888295694021508e-05
izrazio	O=0.9998860359191895|NORM=0.00011329381231917068
nešto	O=0.9999808073043823|NORM=1.8825956431101076e-05
što	O=0.999987006187439|NORM=1.2451168913685251e-05
nije	O=0.9999837875366211|NORM=1.5659568816772662e-05
toliko	O=0.9999603033065796|NORM=3.9406560972565785e-05
ljuto	O=0.9996528625488281|NORM=0.00034569960553199053
tj	NORM=0.9993491768836975|O=0.0006402094732038677
malo	O=0.999829888343811|NORM=0.00016928724653553218
manje	O=0.9999405145645142|NORM=5.937385867582634e-05
ljuto	O=0.9998164772987366|NORM=0.00018293772882316262
od	O=0.9999531507492065|NORM=4.6492776164086536e-05
toga	O=0.9999845027923584|NORM=1.4689351701235864e-05
:d	O=0.9999637603759766|NORM=3.463376560830511e-05

@jedimikaru	O=0.9999877214431763|NORM=1.1925700164283626e-05
kakve	O=0.9999150037765503|NORM=8.428635192103684e-05
veze	O=0.9999492168426514|NORM=5.0475031457608566e-05
ima	O=0.9999867677688599|NORM=1.2837394024245441e-05
kopriva	O=0.9998691082000732|NORM=0.00013056852912995964
sa	O=0.9999321699142456|NORM=6.608926923945546e-05
drkanjem	O=0.9937406182289124|NORM=0.006258346606045961
?	O=0.9999842643737793|NORM=1.4401893167814706e-05

nušo	O=0.9933993816375732|NORM=0.006597911939024925
,	O=0.9999799728393555|NORM=1.8981141693075188e-05
silo	O=0.9970856308937073|NORM=0.002913075964897871
nečista	O=0.9998794794082642|NORM=0.00012023809540551156
,	O=0.9999622106552124|NORM=3.5595730878412724e-05
daj	O=0.9997960925102234|NORM=0.00020366602984722704
vamo	O=0.7942050099372864|NORM=0.20576059818267822
konjak	O=0.9465052485466003|NORM=0.05347635969519615
,	O=0.9999669790267944|NORM=3.186912726960145e-05
zame	O=0.6841209530830383|NORM=0.315670907497406
domaći	O=0.9982415437698364|NORM=0.001757233403623104
,	O=0.9999860525131226|NORM=1.2791691915481351e-05
a	O=0.9999539852142334|NORM=4.541378075373359e-05
za	O=0.9997606873512268|NORM=0.0002372417802689597
dotura	NORM=0.9756702780723572|O=0.02431388385593891
daj	O=0.9998761415481567|NORM=0.00012365628208499402
vrancuski	NORM=0.8799336552619934|O=0.12002946436405182
.	O=0.9999909400939941|NORM=7.74905947764637e-06

to	O=0.9999667406082153|NORM=3.249234941904433e-05
se	O=0.9999704360961914|NORM=2.925528860941995e-05
zove	O=0.997983455657959|NORM=0.0020156321115791798
versatilnost	O=0.9999659061431885|NORM=3.29850590787828e-05
.	O=0.9999819993972778|NORM=1.3710946404899005e-05

privilegije	O=0.9999539852142334|NORM=4.574582999339327e-05
ljudi	O=0.9999825954437256|NORM=1.7079953977372497e-05
rodjenih	NORM=0.9762781858444214|O=0.023709140717983246
u	O=0.9999778270721436|NORM=2.1806876247865148e-05
državi	O=0.9999244213104248|NORM=7.42764605092816e-05
sa	O=0.9999768733978271|NORM=2.279957516293507e-05
zrelim	O=0.9981203675270081|NORM=0.001878979499451816
legalnim	O=0.9983975291252136|NORM=0.0016015743603929877
i	O=0.9999687671661377|NORM=3.097099397564307e-05
poslovnim	O=0.9990166425704956|NORM=0.000982530415058136
sustavom	O=0.999853253364563|NORM=0.00014617954730056226
.	O=0.9999896287918091|NORM=9.467931704421062e-06

bit	O=0.9995977282524109|NORM=0.00040081521729007363
će	O=0.9999665021896362|NORM=3.3359832741552964e-05
meni	O=0.9999547004699707|NORM=4.5006068830844015e-05
opet	O=0.9998975992202759|NORM=0.00010193463822361082
prespavanja	O=0.9998893737792969|NORM=0.0001103841932490468
i	O=0.9999748468399048|NORM=2.498742651368957e-05
traženja	O=0.9978874325752258|NORM=0.00211175624281168
mobitela	O=0.999624490737915|NORM=0.00037382420850917697
pod	O=0.9996846914291382|NORM=0.00031475932337343693
krevetom	O=0.9998503923416138|NORM=0.00014922994887456298
.	O=0.9999908208847046|NORM=8.025865099625662e-06

i	O=0.9999685287475586|NORM=3.1217201467370614e-05
radosti	O=0.9999717473983765|NORM=2.8044561986462213e-05
.	O=0.9999938011169434|NORM=5.092825176689075e-06

"	O=0.9999879598617554|NORM=1.0579612535366323e-05
,	O=0.999991774559021|NORM=6.604396730836015e-06
toše	O=0.9997616410255432|NORM=0.00023780060291755944
,	O=0.9999889135360718|NORM=9.042278179549612e-06
sretan	O=0.9998763799667358|NORM=0.0001229404442710802
ti	O=0.9999690055847168|NORM=3.058027141378261e-05
rođendan	O=0.9999631643295288|NORM=3.6594621633412316e-05
gore	O=0.9972942471504211|NORM=0.0026999646797776222
na	O=0.9999746084213257|NORM=2.5083880245801993e-05
nebesima	O=0.9998970031738281|NORM=0.0001024934317683801

nastade	O=0.9994658827781677|NORM=0.0005335091846063733
opšti	O=0.9802706241607666|NORM=0.019725561141967773
haos	O=0.9693580865859985|NORM=0.030561503022909164
.	O=0.9999897480010986|NORM=8.560754395148251e-06

obavještavamo	O=0.9999603033065796|NORM=3.931451647076756e-05
našeg	O=0.9999747276306152|NORM=2.492656494723633e-05
vip-ovca	O=0.999248206615448|NORM=0.0007481332868337631
0003	O=0.9999361038208008|NORM=6.291906902333722e-05
da	O=0.999984622001648|NORM=1.4954624020901974e-05
će	O=0.999977707862854|NORM=2.2128535420051776e-05
večeras	O=0.9999808073043823|NORM=1.8759268641588278e-05
dobiti	O=0.9998683929443359|NORM=0.0001310859661316499
svoju	O=0.9999765157699585|NORM=2.3144080842030235e-05
iskaznicu	O=0.9999450445175171|NORM=5.427814903669059e-05
,	O=0.9999885559082031|NORM=8.817619345791172e-06
pa	O=0.9999545812606812|NORM=4.478927803575061e-05
ga	O=0.9999690055847168|NORM=3.0368235456990078e-05
molimo	O=0.9999346733093262|NORM=6.465181650128216e-05
da	O=0.9999676942825317|NORM=3.1837796996114776e-05
dođe	O=0.9999572038650513|NORM=4.175180947640911e-05
na	O=0.9999783039093018|NORM=2.1423806174425408e-05
clubbing	O=0.9998764991760254|NORM=0.00012250858708284795
night	O=0.9998778104782104|NORM=0.000121542856504675
:)	O=0.9999834299087524|NORM=1.4165801076160278e-05
@subzero_d	O=0.9999887943267822|NORM=1.084388350136578e-05

joj	O=0.9995139837265015|NORM=0.00048518204130232334
kad	O=0.9999891519546509|NORM=1.049784532369813e-05
bi	O=0.9959940910339355|NORM=0.0039930082857608795
mi	O=0.9999722242355347|NORM=2.7109326765639707e-05
se	O=0.999976396560669|NORM=2.333952761546243e-05
moj	O=0.9999673366546631|NORM=3.199987986590713e-05
ovnovski	O=0.997565507888794|NORM=0.002432791981846094
horoskop	O=0.9998088479042053|NORM=0.00018809287576004863
ostvario	O=0.9999872446060181|NORM=1.2141475053795148e-05
:)	O=0.9999778270721436|NORM=1.775537930370774e-05

infinum	O=0.9726033806800842|NORM=0.027390802279114723
je	O=0.9999755620956421|NORM=2.4247134206234477e-05
najbolji	O=0.9999752044677734|NORM=2.4310522348969243e-05
.	O=0.9999862909317017|NORM=1.076068110705819e-05

cc	O=0.9999570846557617|NORM=4.2657789890654385e-05
@marcec	O=0.9999895095825195|NORM=1.0128286703547928e-05
@ivanhruskovec	O=0.999984860420227|NORM=1.4956782251829281e-05
@vooneni	O=0.9999858140945435|NORM=1.382463779009413e-05
@cepodario	O=0.9999855756759644|NORM=1.4223119251255412e-05
@bulja1	O=0.9999926090240479|NORM=7.005384759395383e-06

@dakoree	O=0.9999912977218628|NORM=8.214660738303792e-06
paparazzima	O=0.9997547268867493|NORM=0.00024477727129124105
koji	O=0.9999845027923584|NORM=1.5002146938059013e-05
vas	O=0.9998434782028198|NORM=0.00015562254702672362
inače	O=0.9999806880950928|NORM=1.911423350975383e-05
ganjaju	O=0.9999545812606812|NORM=4.480410279938951e-05
je	O=0.9999476671218872|NORM=5.213499389356002e-05
praznik	O=0.999852180480957|NORM=0.0001474553282605484
pa	O=0.9999750852584839|NORM=2.463013333908748e-05
morate	O=0.9998929500579834|NORM=0.00010638243111316115
sami	O=0.999886155128479|NORM=0.00011332051508361474
opaliti	O=0.9995250701904297|NORM=0.0004744570469483733
koju	O=0.9998867511749268|NORM=0.0001127340947277844
fotku	O=0.9997695088386536|NORM=0.00022873253328725696
...	O=0.9999815225601196|NORM=1.7786169337341562e-05

il	NORM=0.9976338148117065|O=0.002236031461507082
sam	O=0.9998582601547241|NORM=0.00014115517842583358
corava	NORM=0.9854423999786377|O=0.01454467698931694
il	NORM=0.9969413876533508|O=0.002994170179590583
nema	O=0.9999836683273315|NORM=1.6093606973299757e-05
most	O=0.9999455213546753|NORM=5.4064603318693116e-05
recent	O=0.9903548955917358|NORM=0.009642898105084896
neg	NORM=0.9981620907783508|O=0.0018325274577364326
on	O=0.9995947480201721|NORM=0.00040465983329340816
meni	O=0.9999731779098511|NORM=2.6465106202522293e-05
automatski	O=0.9998438358306885|NORM=0.00015557912411168218
stavi	O=0.9998507499694824|NORM=0.00014845778059680015
samo	O=0.9999731779098511|NORM=2.6354035071562976e-05
top	O=0.9999107122421265|NORM=8.817551133688539e-05
stories	O=0.9998965263366699|NORM=0.00010245282464893535
.	O=0.9999911785125732|NORM=8.071830961853266e-06

kad	O=0.9999920129776001|NORM=7.638444913027342e-06
se	O=0.9999771118164062|NORM=2.2745765818399377e-05
nađeš	O=0.9999344348907471|NORM=6.498870061477646e-05
u	O=0.9999804496765137|NORM=1.9298477127449587e-05
krivo	O=0.9998131394386292|NORM=0.00018502009334042668
vrijeme	O=0.9998080134391785|NORM=0.00018808411550708115
na	O=0.9999649524688721|NORM=3.438209023443051e-05
krivom	O=0.9997367262840271|NORM=0.0002610560622997582
mjestu	O=0.9999558925628662|NORM=4.321407323004678e-05
,	O=0.9999829530715942|NORM=1.4606142030970659e-05
onda	O=0.9999814033508301|NORM=1.829460234148428e-05
se	O=0.9999719858169556|NORM=2.784405842248816e-05
osjećaš	O=0.999835729598999|NORM=0.0001637099776417017
blesavo	O=0.9993836879730225|NORM=0.0006134561263024807
i	O=0.9999771118164062|NORM=2.2504751541418955e-05
ne	O=0.9999475479125977|NORM=5.136034815222956e-05
znaš	O=0.9999415874481201|NORM=5.791126022813842e-05
kud	O=0.5544470548629761|NORM=0.44551882147789
bi	NORM=0.94318687915802|O=0.056806258857250214
sa	O=0.9999773502349854|NORM=2.2345386241795495e-05
sobom	O=0.9999488592147827|NORM=5.076625893707387e-05
,	O=0.9999840259552002|NORM=1.3322149243322201e-05
tako	O=0.9999192953109741|NORM=8.055959187913686e-05
i	O=0.9999728202819824|NORM=2.697353920666501e-05
ovaj	O=0.9999803304672241|NORM=1.9305762180010788e-05
snijeg	O=0.9997981190681458|NORM=0.0002003974368562922
u	O=0.9999707937240601|NORM=2.8723505238303915e-05
trećem	O=0.9994906187057495|NORM=0.0005084053263999522
mjesecu	O=0.999559223651886|NORM=0.00043536085286177695
.	O=0.9999839067459106|NORM=1.3109029168845154e-05

di	NORM=0.9936158657073975|O=0.005493422504514456
ce	NORM=0.9997988343238831|O=0.00018550068489275873
biti	O=0.7144250273704529|NORM=0.28555232286453247
apple	O=0.9998511075973511|NORM=0.00014461719547398388
,	O=0.9999852180480957|NORM=1.3613220289698802e-05
goolge	O=0.9711816906929016|NORM=0.02881464920938015
i	O=0.9999617338180542|NORM=3.7888079532422125e-05
ms	O=0.9975806474685669|NORM=0.002417544834315777
2021	O=0.9997493624687195|NORM=0.00024854668299667537
?	O=0.9999732971191406|NORM=2.275984843436163e-05

velika	O=0.9999719858169556|NORM=2.7792988475994207e-05
stopala	O=0.9999706745147705|NORM=2.8938680770806968e-05
....................	O=0.9998801946640015|NORM=0.00011808226554421708
tesko	NORM=0.9923794269561768|O=0.007602964527904987
se	O=0.9999676942825317|NORM=3.209169881301932e-05
pronalaze	O=0.9972856044769287|NORM=0.0027111642993986607
cipele	O=0.9996284246444702|NORM=0.0003699685330502689
:d	O=0.9999251365661621|NORM=7.068729610182345e-05

dec	NORM=0.99946528673172|O=0.00052790337940678
it	O=0.9998897314071655|NORM=0.00010963201930280775
!	O=0.9999902248382568|NORM=7.597036074002972e-06

no	O=0.9996442794799805|NORM=0.0003549052053131163
:	O=0.9999566078186035|NORM=4.187931335764006e-05
osvjetljenje	O=0.9999008178710938|NORM=9.842446888796985e-05
u	O=0.9999651908874512|NORM=3.443345121922903e-05
toj	O=0.9995933175086975|NORM=0.0004051417054142803
emisiji	O=0.9998619556427002|NORM=0.0001370198733638972
.	O=0.9999914169311523|NORM=7.53553786125849e-06

svugdi	NORM=0.9981176853179932|O=0.001859194366261363
parkinga	O=0.9980924725532532|NORM=0.0019065402448177338
,	O=0.9999707937240601|NORM=2.8400727387634106e-05
nigdi	NORM=0.9983289837837219|O=0.0016448355745524168
bedaka	O=0.9100232720375061|NORM=0.08996742218732834
.	O=0.9999878406524658|NORM=1.1013568837370258e-05

@afirebt	O=0.9999823570251465|NORM=1.6921709175221622e-05
znam	O=0.9999450445175171|NORM=5.407025309978053e-05
samo	O=0.999969482421875|NORM=3.033250141015742e-05
da	O=0.9999740123748779|NORM=2.58153559116181e-05
je	O=0.9999724626541138|NORM=2.7381764084566385e-05
hrvatski	O=0.9999387264251709|NORM=6.09036760579329e-05
distributer	O=0.9953711628913879|NORM=0.004626937210559845
uzas	NORM=0.9970362186431885|O=0.0029538064263761044
ali	O=0.9999052286148071|NORM=9.41893013077788e-05
i	O=0.9999774694442749|NORM=2.2360929506248794e-05
da	O=0.9999712705612183|NORM=2.856829269148875e-05
ces	NORM=0.9993385672569275|O=0.0006483193137682974
ga	O=0.9999551773071289|NORM=4.4433294533519074e-05
vjerojatno	O=0.9998458623886108|NORM=0.00015345326391980052
morati	O=0.9994450211524963|NORM=0.0005537099787034094
kontaktirati	O=0.9995495676994324|NORM=0.00044828985119238496
(	O=0.999985933303833|NORM=1.344878000963945e-05
ako	O=0.9999711513519287|NORM=2.8682728952844627e-05
nemas	NORM=0.9995026588439941|O=0.0004825589421670884
nekog	O=0.9985363483428955|NORM=0.0014630345394834876
vani	O=0.9999229907989502|NORM=7.680169073864818e-05
ili	O=0.9999750852584839|NORM=2.4715262043173425e-05
ima	O=0.9999769926071167|NORM=2.2893440473126248e-05
rabljenih	O=0.9993213415145874|NORM=0.0006781800766475499
)	O=0.9999698400497437|NORM=2.845071503543295e-05

pogledajte	O=0.9995896220207214|NORM=0.00040449551306664944
prelijep	O=0.9992765784263611|NORM=0.0007217145757749677
iphone	O=0.9999046325683594|NORM=9.472549572819844e-05
6	O=0.9999328851699829|NORM=6.587505049537867e-05
koncept	O=0.9992582201957703|NORM=0.0007324005127884448
nastao	O=0.9999605417251587|NORM=3.915370689355768e-05
na	O=0.9999881982803345|NORM=1.1606952284637373e-05
osnovu	O=0.999742329120636|NORM=0.0002568051277194172
procurjelih	O=0.872844398021698|NORM=0.12713706493377686
šema	O=0.9924883842468262|NORM=0.007505131885409355
:	O=0.999966025352478|NORM=3.2533811463508755e-05
ako	O=0.9999853372573853|NORM=1.4374287275131792e-05
postoji	O=0.9999889135360718|NORM=1.0613679478410631e-05
nešto	O=0.9999805688858032|NORM=1.9134678950649686e-05
čega	O=0.9998618364334106|NORM=0.00013745516480412334
ne	O=0.9999836683273315|NORM=1.5951363820931874e-05
nedo	O=0.7697457075119019|NORM=0.23023274540901184
...	O=0.9999123811721802|NORM=8.366419206140563e-05

ako	O=0.999990701675415|NORM=9.061959644895978e-06
se	O=0.9999798536300659|NORM=1.9919152691727504e-05
pretvaram	O=0.9998070597648621|NORM=0.00019125327526126057
da	O=0.9999850988388062|NORM=1.4570141502190381e-05
se	O=0.9999771118164062|NORM=2.251527075713966e-05
laptop	O=0.9994871616363525|NORM=0.0005107118049636483
nije	O=0.999968409538269|NORM=3.12911142827943e-05
maloprije	O=0.9998630285263062|NORM=0.00013653583300765604
ugasio	O=0.9999047517776489|NORM=9.436476102564484e-05
bez	O=0.9999665021896362|NORM=3.28248534060549e-05
ikakvog	O=0.9998149275779724|NORM=0.00018475859542377293
razloga	O=0.9999252557754517|NORM=7.340977754211053e-05
,	O=0.9999892711639404|NORM=9.457909982302226e-06
onda	O=0.9999885559082031|NORM=1.1035939678549767e-05
to	O=0.9999866485595703|NORM=1.2442284969438333e-05
neće	O=0.9999409914016724|NORM=5.832914757775143e-05
više	O=0.9999839067459106|NORM=1.5689991414546967e-05
ponoviti	O=0.9999290704727173|NORM=7.024491060292348e-05
,	O=0.9999847412109375|NORM=1.3157661669538356e-05
jel	NORM=0.9981854557991028|O=0.0015315262135118246
tako	O=0.9998857975006104|NORM=0.00011385256220819429
?	O=0.999981164932251|NORM=1.5964564227033406e-05

u	O=0.999975323677063|NORM=2.4415916414000094e-05
obrani	O=0.9983749389648438|NORM=0.001615536748431623
sam	O=0.9999405145645142|NORM=5.893637353437953e-05
jak	O=0.999710738658905|NORM=0.00028866901993751526
,	O=0.999987006187439|NORM=1.1174458450113889e-05
prođe	O=0.9999713897705078|NORM=2.8396438210620545e-05
čovjek	O=0.9998037219047546|NORM=0.00019437691662460566
-	O=0.9999616146087646|NORM=3.7748894101241603e-05
neće	O=0.9999557733535767|NORM=4.405593062983826e-05
pak	O=0.9997221827507019|NORM=0.0002776158507913351
!	O=0.9999892711639404|NORM=8.022239853744395e-06

ms	O=0.9965062737464905|NORM=0.0034922542981803417
office	O=0.9992583394050598|NORM=0.0007388858357444406
za	O=0.9997671246528625|NORM=0.00023008932475931942
ios	O=0.9990333318710327|NORM=0.0009653825545683503
na	O=0.9999881982803345|NORM=1.144294765254017e-05
vrhu	O=0.9999706745147705|NORM=2.8853170078946277e-05
appstore	O=0.9981288313865662|NORM=0.001870055333711207
ljestvice	O=0.9999614953994751|NORM=3.81862155336421e-05
?	O=0.9999722242355347|NORM=2.6712896215030923e-05

nocenje	NORM=0.999286949634552|O=0.0007057790644466877
,	O=0.9999805688858032|NORM=1.8892265870817937e-05
spavanje	O=0.9999223947525024|NORM=7.727109914412722e-05
u	O=0.9999781847000122|NORM=2.165578189305961e-05
dnevnoj	O=0.9995148181915283|NORM=0.0004850246477872133
sobi	O=0.9999223947525024|NORM=7.735220424365252e-05
ko	NORM=0.999512791633606|O=0.00046046829083934426
u	O=0.9998779296875|NORM=0.00012190412962809205
space	O=0.9994051456451416|NORM=0.0005899926763959229
shuttleu	O=0.9522795677185059|NORM=0.047652170062065125
od	O=0.999679446220398|NORM=0.000320177263347432
silnih	O=0.9997478127479553|NORM=0.0002519268891774118
standby	O=0.9998418092727661|NORM=0.00015729718143120408
lampica	O=0.9387179613113403|NORM=0.06127777695655823
raznih	O=0.9986642599105835|NORM=0.0013338476419448853
av	NORM=0.6130115389823914|O=0.38696423172950745
i	O=0.9990431666374207|NORM=0.0009564129286445677
inih	NORM=0.9679272174835205|O=0.032067522406578064
uredjaja	NORM=0.9886804819107056|O=0.011309497989714146
.	O=0.999982476234436|NORM=1.6803849575808272e-05

